id	target	decennie	annee
CR_CA_2004-10-25_1_TEI	CR	2000	2004
CR_CA_2004-10-25_2_TEI	CR	2000	2004
CR_CA_2004-11-08_TEI	CR	2000	2004
CR_CA_2004-11-22_1_TEI	CR	2000	2004
CR_CA_2004-11-22_2_TEI	CR	2000	2004
CR_CA_2004-12-06_TEI	CR	2000	2004
CR_CA_2004-12-13_TEI	CR	2000	2004
CR_CA_2005-01-31_TEI	CR	2000	2005
CR_CA_2005-02-21_TEI	CR	2000	2005
CR_CA_2005-03-21_TEI	CR	2000	2005
CR_CA_2005-04-18_TEI	CR	2000	2005
CR_CA_2005-05-30_TEI	CR	2000	2005
CR_CA_2005-06-27_TEI	CR	2000	2005
CR_CA_2005-07-05_TEI	CR	2000	2005
CR_CA_2005-09-19_TEI	CR	2000	2005
CR_CA_2005-10-03_TEI	CR	2000	2005
CR_CA_2005-10-24_TEI	CR	2000	2005
CR_CA_2005-11-07_TEI	CR	2000	2005
CR_CA_2005-11-21_TEI	CR	2000	2005
CR_CA_2005-12-05_TEI	CR	2000	2005
CR_CA_2006-01-30_TEI	CR	2000	2006
CR_CA_2006-02-27_TEI	CR	2000	2006
CR_CA_2006-03-20_TEI	CR	2000	2006
CR_CA_2006-03-27_1_TEI	CR	2000	2006
CR_CA_2006-03-27_2_TEI	CR	2000	2006
CR_CA_2006-03-31_TEI	CR	2000	2006
CR_CA_2006-04-07_TEI	CR	2000	2006
CR_CA_2006-04-24_TEI	CR	2000	2006
CR_CA_2006-05-09_TEI	CR	2000	2006
CR_CA_2006-05-29_TEI	CR	2000	2006
CR_CA_2006-06-26_TEI	CR	2000	2006
CR_CA_2006-09-25_TEI	CR	2000	2006
CR_CA_2006-10-16_TEI	CR	2000	2006
CR_CA_2006-11-06_TEI	CR	2000	2006
CR_CA_2006-12-04_TEI	CR	2000	2006
CR_CA_2006-12-18_TEI	CR	2000	2006
CR_CA_1991-02-04_TEI	CR	1990	1991
CR_CA_1991-02-18_TEI	CR	1990	1991
CR_CA_1991-03-25_TEI	CR	1990	1991
CR_CA_1991-05-13_TEI	CR	1990	1991
CR_CA_1991-06-24_TEI	CR	1990	1991
CR_CA_1991-09-23_TEI	CR	1990	1991
CR_CA_1991-11-04_TEI	CR	1990	1991
CR_CA_1991-12-16_TEI	CR	1990	1991
CR_CA_1992-01-27_TEI	CR	1990	1992
CR_CA_1992-02-03_TEI	CR	1990	1992
CR_CA_1992-03-02_TEI	CR	1990	1992
CR_CA_1992-04-06_TEI	CR	1990	1992
CR_CA_1992-05-25_TEI	CR	1990	1992
CR_CA_1992-06-29_TEI	CR	1990	1992
CR_CA_1992-09-21_TEI	CR	1990	1992
CR_CA_1992-11-09_TEI	CR	1990	1992
CR_CA_1992-12-14_TEI	CR	1990	1992
CR_CA_1993-02-01_TEI	CR	1990	1993
CR_CA_1993-02-08_TEI	CR	1990	1993
CR_CA_1993-03-08_TEI	CR	1990	1993
CR_CA_1993-03-29_TEI	CR	1990	1993
CR_CA_1993-05-17_TEI	CR	1990	1993
CR_CA_1993-06-28_TEI	CR	1990	1993
CR_CA_1993-09-27_TEI	CR	1990	1993
CR_CA_1993-11-29_TEI	CR	1990	1993
CR_CA_1993-12-13_TEI	CR	1990	1993
CR_CA_1994-01-10_TEI	CR	1990	1994
CR_CA_1994-02-28_TEI	CR	1990	1994
CR_CA_1994-03-14_TEI	CR	1990	1994
CR_CA_1994-03-28_TEI	CR	1990	1994
CR_CA_1994-05-16_TEI	CR	1990	1994
CR_CA_1994-06-14_TEI	CR	1990	1994
CR_CA_1994-07-04_TEI	CR	1990	1994
CR_CA_1994-10-03_TEI	CR	1990	1994
CR_CA_1994-11-07_TEI	CR	1990	1994
CR_CA_1994-12-12_TEI	CR	1990	1994
CR_CA_1995-01-23_TEI	CR	1990	1995
CR_CA_1995-02-27_TEI	CR	1990	1995
CR_CA_1995-03-20_TEI	CR	1990	1995
CR_CA_1995-05-22_TEI	CR	1990	1995
CR_CA_1995-06-12_TEI	CR	1990	1995
CR_CA_1995-07-03_TEI	CR	1990	1995
CR_CA_1995-10-09_TEI	CR	1990	1995
CR_CA_1995-10-26_TEI	CR	1990	1995
CR_CA_1995-11-13_TEI	CR	1990	1995
CR_CA_1995-12-11_TEI	CR	1990	1995
CR_CA_1996-01-29_TEI	CR	1990	1996
CR_CA_1996-02-19_TEI	CR	1990	1996
CR_CA_1996-03-11_TEI	CR	1990	1996
CR_CA_1996-04-15_TEI	CR	1990	1996
CR_CA_1996-05-20_TEI	CR	1990	1996
CR_CA_1996-07-01_TEI	CR	1990	1996
CR_CA_1996-09-16_TEI	CR	1990	1996
CR_CA_1997-01-20_TEI	CR	1990	1997
CR_CA_1997-02-24_TEI	CR	1990	1997
CR_CA_1997-03-24_TEI	CR	1990	1997
CR_CA_1997-04-28_TEI	CR	1990	1997
CR_CA_1997-05-23_TEI	CR	1990	1997
CR_CA_1997-06-30_TEI	CR	1990	1997
CR_CA_1997-09-22_TEI	CR	1990	1997
CR_CA_1997-11-17_TEI	CR	1990	1997
CR_CA_1997-12-01_TEI	CR	1990	1997
CR_CA_1998-01-19_TEI	CR	1990	1998
CR_CA_1998-02-09_TEI	CR	1990	1998
CR_CA_1998-03-09_TEI	CR	1990	1998
CR_CA_1998-03-30_TEI	CR	1990	1998
CR_CA_1998-05-04_TEI	CR	1990	1998
CR_CA_1998-05-25_TEI	CR	1990	1998
CR_CA_1998-06-22_TEI	CR	1990	1998
CR_CA_1998-09-07_TEI	CR	1990	1998
CR_CA_1998-10-05_TEI	CR	1990	1998
CR_CA_1998-11-09_TEI	CR	1990	1998
CR_CA_1998-12-14_TEI	CR	1990	1998
CR_CA_1999-01-18_TEI	CR	1990	1999
CR_CA_1999-02-15_TEI	CR	1990	1999
CR_CA_1999-03-29_TEI	CR	1990	1999
CR_CA_1999-05-03_TEI	CR	1990	1999
CR_CA_1999-05-31_TEI	CR	1990	1999
CR_CA_1999-07-05_TEI	CR	1990	1999
CR_CA_1999-09-20_TEI	CR	1990	1999
CR_CA_1999-10-18_TEI	CR	1990	1999
CR_CA_1999-11-22_TEI	CR	1990	1999
CR_CA_1999-12-13_TEI	CR	1990	1999
CR_CA_2000-01-17_TEI	CR	2000	2000
CR_CA_2000-02-21_TEI	CR	2000	2000
CR_CA_2000-03-13_TEI	CR	2000	2000
CR_CA_2000-05-04_TEI	CR	2000	2000
CR_CA_2000-05-22_1_TEI	CR	2000	2000
CR_CA_2000-05-22_2_TEI	CR	2000	2000
CR_CA_2000-07-03_TEI	CR	2000	2000
CR_CA_2000-09-25_TEI	CR	2000	2000
CR_CA_2000-10-09_TEI	CR	2000	2000
CR_CA_2000-10-23_1_TEI	CR	2000	2000
CR_CA_2000-10-23_2_TEI	CR	2000	2000
CR_CA_2000-11-20_TEI	CR	2000	2000
CR_CA_2000-12-11_1_TEI	CR	2000	2000
CR_CA_2000-12-11_2_TEI	CR	2000	2000
CR_CA_2007-01-29_TEI	CR	2000	2007
CR_CA_2007-02-19_TEI	CR	2000	2007
CR_CA_2007-03-26_TEI	CR	2000	2007
CR_CA_2007-04-30_TEI	CR	2000	2007
CR_CA_2007-06-11_TEI	CR	2000	2007
CR_CA_2007-06-25_TEI	CR	2000	2007
CR_CA_2007-07-09_TEI	CR	2000	2007
CR_CA_2007-10-08_TEI	CR	2000	2007
CR_CA_2007-10-22_TEI	CR	2000	2007
CR_CA_2007-11-19_TEI	CR	2000	2007
CR_CA_2007-11-26_TEI	CR	2000	2007
CR_CA_2008-01-28_TEI	CR	2000	2008
CR_CA_2008-02-25_TEI	CR	2000	2008
CR_CA_2008-03-27_TEI	CR	2000	2008
CR_CA_2008-04-07_TEI	CR	2000	2008
CR_CA_2008-05-20_TEI	CR	2000	2008
CR_CA_2008-06-23_TEI	CR	2000	2008
CR_CA_2008-07-08_TEI	CR	2000	2008
CR_CA_2008-09-22_TEI	CR	2000	2008
CR_CA_2008-10-17_TEI	CR	2000	2008
CR_CA_2008-11-24_TEI	CR	2000	2008
CR_CA_2008-12-15_TEI	CR	2000	2008
CR_CA_2009-01-26_TEI	CR	2000	2009
CR_CA_2009-02-09_TEI	CR	2000	2009
CR_CA_2009-03-02_TEI	CR	2000	2009
CR_CA_2009-03-30_TEI	CR	2000	2009
CR_CA_2009-05-25_TEI	CR	2000	2009
CR_CA_2009-06-02_TEI	CR	2000	2009
CR_CA_2009-06-22_TEI	CR	2000	2009
CR_CA_2009-07-06_TEI	CR	2000	2009
CR_CA_2009-09-21_TEI	CR	2000	2009
CR_CA_2009-10-12_TEI	CR	2000	2009
CR_CA_2009-10-19_TEI	CR	2000	2009
CR_CA_2009-11-23_TEI	CR	2000	2009
CR_CA_2009-12-14_TEI	CR	2000	2009
CR_CA_2010-01-25_TEI	CR	2010	2010
CR_CA_2010-02-15_TEI	CR	2010	2010
CR_CA_2010-03-15_TEI	CR	2010	2010
CR_CA_2010-03-25_TEI	CR	2010	2010
CR_CA_2010-04-12_TEI	CR	2010	2010
CR_CA_2010-06-21_TEI	CR	2010	2010
CR_CA_2010-07-05_TEI	CR	2010	2010
CR_CA_2010-10-18_TEI	CR	2010	2010
CR_CA_2010-11-22_TEI	CR	2010	2010
CR_CA_2010-12-13_TEI	CR	2010	2010
CR_CA_2011-01-24_TEI	CR	2010	2011
CR_CA_2011-02-28_TEI	CR	2010	2011
CR_CA_2011-04-04_TEI	CR	2010	2011
CR_CA_2011-05-02_TEI	CR	2010	2011
CR_CA_2011-05-09_TEI	CR	2010	2011
CR_CA_2011-06-06_TEI	CR	2010	2011
CR_CA_2011-07-04_TEI	CR	2010	2011
CR_CA_2011-09-19_TEI	CR	2010	2011
CR_CA_2011-10-17_TEI	CR	2010	2011
CR_CA_2011-11-14_TEI	CR	2010	2011
CR_CA_2011-12-12_TEI	CR	2010	2011
CR_CA_2012-01-23_TEI	CR	2010	2012
CR_CA_2012-02-20_TEI	CR	2010	2012
CR_CA_2012-04-02_1_TEI	CR	2010	2012
CR_CA_2012-04-02_2_TEI	CR	2010	2012
CR_CA_2012-04-10_TEI	CR	2010	2012
CR_CA_2012-05-03_TEI	CR	2010	2012
CR_CA_2012-05-14_TEI	CR	2010	2012
CR_CA_2012-05-31_TEI	CR	2010	2012
CR_CA_2012-06-11_TEI	CR	2010	2012
CR_CA_2012-07-09_TEI	CR	2010	2012
CR_CA_2012-10-22_TEI	CR	2010	2012
CR_CA_2012-11-27_TEI	CR	2010	2012
CR_CA_2012-12-17_TEI	CR	2010	2012
CR_CA_2013-01-28_TEI	CR	2010	2013
CR_CA_2013-02-25_TEI	CR	2010	2013
CR_CA_2013-03-25_TEI	CR	2010	2013
CR_CA_2013-04-22_TEI	CR	2010	2013
CR_CA_2013-05-21_TEI	CR	2010	2013
CR_CA_2013-06-03_TEI	CR	2010	2013
CR_CA_2013-07-08_TEI	CR	2010	2013
CR_CA_2013-09-30_TEI	CR	2010	2013
CR_CA_2013-10-21_TEI	CR	2010	2013
CR_CA_2013-11-25_TEI	CR	2010	2013
CR_CA_2013-12-16_TEI	CR	2010	2013
CR_CA_2014-01-27_TEI	CR	2010	2014
CR_CA_2014-03-10_TEI	CR	2010	2014
CR_CA_2014-03-24_TEI	CR	2010	2014
CR_CA_2014-06-23_TEI	CR	2010	2014
CR_CA_2014-07-07_TEI	CR	2010	2014
CR_CA_2014-09-29_TEI	CR	2010	2014
CR_CA_2014-10-20_TEI	CR	2010	2014
CR_CA_2014-11-24_TEI	CR	2010	2014
CR_CA_2014-12-15_TEI	CR	2010	2014
CR_CA_2015-01-26_TEI	CR	2010	2015
CR_CA_2015-03-09_TEI	CR	2010	2015
CR_CA_2015-03-30_TEI	CR	2010	2015
CR_CA_2015-04-13_TEI	CR	2010	2015
CR_CA_2015-06-08_TEI	CR	2010	2015
CR_CA_2015-07-06_TEI	CR	2010	2015
CR_CA_2015-09-28_TEI	CR	2010	2015
CR_CA_2015-10-19_TEI	CR	2010	2015
CR_CA_2015-11-23_TEI	CR	2010	2015
CR_CA_2016-02-25_TEI	CR	2010	2016
CR_CA_2016-04-04_TEI	CR	2010	2016
CR_CA_2016-04-18_TEI	CR	2010	2016
CR_CA_2016-05-23_TEI	CR	2010	2016
CR_CA_2016-06-20_TEI	CR	2010	2016
CR_CA_2016-07-11_TEI	CR	2010	2016
CR_CA_2016-09-26_TEI	CR	2010	2016
CR_CA_2016-10-24_TEI	CR	2010	2016
CR_CA_2016-11-21_TEI	CR	2010	2016
CR_CA_2016-12-12_TEI	CR	2010	2016
CR_CA_2017-01-30_TEI	CR	2010	2017
CR_CA_2017-02-27_TEI	CR	2010	2017
CR_CA_2017-03-29_TEI	CR	2010	2017
CR_CA_2017-06-12_TEI	CR	2010	2017
CR_CA_2017-07-03_TEI	CR	2010	2017
CR_CA_2017-09-11_TEI	CR	2010	2017
CR_CA_2017-09-25_TEI	CR	2010	2017
CR_CA_2017-10-16_TEI	CR	2010	2017
CR_CA_2017-11-13_TEI	CR	2010	2017
CR_CA_2017-12-11_TEI	CR	2010	2017
CR_CA_2018-01-22_TEI	CR	2010	2018
CR_CA_2018-03-12_TEI	CR	2010	2018
CR_CA_2018-06-18_TEI	CR	2010	2018
CR_CA_2018-07-09_TEI	CR	2010	2018
CR_CA_2018-09-10_TEI	CR	2010	2018
CR_CA_2018-09-24_TEI	CR	2010	2018
CR_CA_2018-10-15_TEI	CR	2010	2018
CR_CA_2018-12-10_TEI	CR	2010	2018
